clase_id,nombre,email
1,Jafet Casals,Jafet_Casals@gmail.com
1,Jorge Manzanares,Jorge_Manzanares@gmail.com
1,Onofre Adadia,Onofre_Adadia@gmail.com
1,Merche Prada,Merche_Prada@gmail.com
1,Pilar Abella,Pilar_Abella@gmail.com
1,Leoncio Tena,Leoncio_Tena@gmail.com
1,Odalys Torrijos,Odalys_Torrijos@gmail.com
1,Eduardo Caparrós,Eduardo_Caparrós@gmail.com
1,Ignacio Goicoechea,Ignacio_Goicoechea@gmail.com
1,Clementina Santos,Clementina_Santos@gmail.com
1,Daniela Falcó,Daniela_Falcó@gmail.com
1,Abraham Vélez,Abraham_Vélez@gmail.com
1,Maximiliano Menéndez,Maximiliano_Menéndez@gmail.com
1,Anita Heredia,Anita_Heredia@gmail.com
1,Eli Casas,Eli_Casas@gmail.com
2,Guillermo Borrego,Guillermo_Borrego@gmail.com
2,Sergio Aguirre,Sergio_Aguirre@gmail.com
2,Carlito Carrión,Carlito_Carrión@gmail.com
2,Haydée Figueroa,Haydée_Figueroa@gmail.com
2,Chita Mancebo,Chita_Mancebo@gmail.com
2,Joaquina Asensio,Joaquina_Asensio@gmail.com
2,Cristian Sarabia,Cristian_Sarabia@gmail.com
2,Isabel Ibáñez,Isabel_Ibáñez@gmail.com
2,Desiderio Jordá,Desiderio_Jordá@gmail.com
2,Rosalina Llanos,Rosalina_Llanos@gmail.com
3,Amor Larrañaga,Amor_Larrañaga@gmail.com
3,Teodoro Alberola,Teodoro_Alberola@gmail.com
3,Cleto Plana,Cleto_Plana@gmail.com
3,Aitana Sebastián,Aitana_Sebastián@gmail.com
3,Dolores Valbuena,Dolores_Valbuena@gmail.com
3,Julie Ferrer,Julie_Ferrer@gmail.com
3,Mireia Cabañas,Mireia_Cabañas@gmail.com
3,Flavia Amador,Flavia_Amador@gmail.com
3,Albino Macias,Albino_Macias@gmail.com
3,Ester Sánchez,Ester_Sánchez@gmail.com
3,Luis Miguel Galvez,Luis_Miguel_Galvez@gmail.com
3,Loida Arellano,Loida_Arellano@gmail.com
3,Heraclio Duque,Heraclio_Duque@gmail.com
3,Herberto Figueras,Herberto_Figueras@gmail.com
4,Teresa Laguna,Teresa_Laguna@gmail.com
4,Estrella Murillo,Estrella_Murillo@gmail.com
4,Ernesto Uriarte,Ernesto_Uriarte@gmail.com
4,Daniela Guitart,Daniela_Guitart@gmail.com
4,Timoteo Trillo,Timoteo_Trillo@gmail.com
4,Ricarda Tovar,Ricarda_Tovar@gmail.com
4,Alejandra Vilaplana,Alejandra_Vilaplana@gmail.com
4,Daniel Rosselló,Daniel_Rosselló@gmail.com
4,Rita Olivares,Rita_Olivares@gmail.com
4,Cleto Montes,Cleto_Montes@gmail.com
4,Marino Castilla,Marino_Castilla@gmail.com
4,Estefanía Valcárcel,Estefanía_Valcárcel@gmail.com
4,Noemí Vilanova,Noemí_Vilanova@gmail.com
